"","Ti","Yi","Di","credit.score","interest.rate","pti","veh.value","co.sign","new.used","subvent.rate","subvent.cash","veh.pick.up","veh.suv"
"42",63,54,1,0.582894992230956,-0.544320642437849,0.315134751375694,0.0289696429220345,0,0,1,0,0,0
"43",63,54,1,0.852394654557375,-0.954556794404306,-0.0549607574727513,0.122177824684409,0,1,1,0,1,0
"44",64,55,1,0.593260363858895,-1.73400548314058,0.647026852859138,0.00372950305731425,0,1,1,0,0,1
"45",63,54,1,1.0700674587441,-1.73400548314058,0.713882815747889,-0.360182560322587,1,1,1,0,0,0
"46",63,54,1,0.572529620603017,0.292561107573724,1.00995922282664,1.06564559404935,1,1,0,1,1,0
"47",63,54,1,-0.0390273054453934,-0.954556794404306,0.623149723256012,-0.104876550015213,0,1,1,0,0,1
"48",62,54,1,0.997509857348523,-1.73400548314058,3.0180258224495,0.151561512754075,0,1,1,0,0,1
"49",59,53,1,0.189010870369268,0.276151661495065,-0.842906034375892,-0.199232781686516,1,1,0,1,1,0
"50",61,52,1,0.707279451766226,-0.733029272342419,-0.752172941884015,0.41226443998779,1,1,0,1,1,0
"51",63,52,1,-0.370719197539447,-0.322793120375962,0.654189991740075,0.732984217885693,0,1,0,1,1,0
"52",63,52,1,-0.349988454283568,-0.134084490471392,5.20039546817517,-0.0207821978684321,0,1,0,1,0,0
"53",63,52,1,-0.318892339399751,-0.544320642437849,4.10443521939171,0.00955793716308986,0,0,1,0,0,0
"54",64,52,1,-1.88406345521856,-0.0151160064011193,-1.27030665427184,1.16983370608625,0,1,0,1,1,0
"55",64,52,1,1.32920174944258,-0.954556794404306,0.644639139898825,0.616156805811631,1,1,1,0,1,0
"56",63,52,1,1.00787522897646,-1.73400548314058,-0.589808460582762,1.15516311754765,1,1,1,0,0,0
"57",57,52,1,0.862760026185314,-0.527911196359191,4.91386991293766,0.998979438300144,0,1,0,1,0,1
"58",55,52,1,0.448145161067747,-0.134084490471392,-0.236426942456505,1.45225050707456,1,1,0,1,0,1
"59",63,52,1,0.178645498741329,-0.314588397336633,-0.286568914623068,-0.127610202628445,0,0,0,0,0,0
"60",63,52,1,-2.31940906359201,-0.527911196359191,-1.27030665427184,0.237099905604286,0,1,0,1,1,0
"61",63,52,1,-1.92552494173032,-0.544320642437849,-1.27030665427184,-0.304461559962921,0,1,1,0,0,0
"62",63,52,1,1.03897134386028,0.292561107573724,-0.919312849105894,0.796766534280491,1,1,0,1,1,0
"63",64,52,1,-0.381084569167386,0.784844489933472,0.181422825598191,-0.247203784996187,0,0,0,0,1,0
"64",64,52,1,-2.40233203661552,-1.73400548314058,-1.27030665427184,0.124911109732967,0,1,1,0,1,0
"65",58,51,1,0.976779114092645,-0.0315254524797775,0.374827575383507,-0.391654632478257,0,0,0,0,0,1
"66",64,52,1,-2.14319774591704,-0.544320642437849,-1.27030665427184,0.772174755328675,0,1,1,0,1,0
"67",62,52,1,-0.0701234203292109,-1.73400548314058,-0.515789358813073,-0.568304407686503,1,1,1,0,0,0
"68",56,52,1,-0.0286619338174543,-0.544320642437849,-0.439382544083072,-0.629223937418306,1,1,0,1,0,1
"69",63,52,1,0.90422151269707,-0.0971632367944108,2.69807228576762,-0.0795143104169718,0,0,0,0,0,0
"70",64,50,1,-2.38160129335964,1.50275775587477,-1.27030665427184,-0.360964953001856,0,0,0,0,1,0
"71",51,49,1,-0.681680346377622,1.40019871788316,0.138443992312565,-0.431887163351535,0,0,0,0,1,0
"72",63,50,1,0.738375566650044,-1.73400548314058,0.0477108998206882,0.840438020047657,1,1,1,0,0,1
"73",62,49,1,0.520702762463321,-0.527911196359191,0.561069186287886,0.754242205112451,1,1,0,1,1,0
"74",63,49,1,0.593260363858895,-0.527911196359191,-0.463259673686197,0.276449550276706,0,0,0,0,1,0
"75",61,49,1,-0.277430852887994,1.62582860146471,0.403480130907258,-1.36805689373813,1,0,0,0,0,1
"76",61,49,1,-0.0182965621895151,-0.544320642437849,0.00234435357474981,-0.0100626026890272,0,0,1,0,0,1
"77",63,49,1,-2.16392848917292,-0.733029272342419,-1.27030665427184,0.432635991489818,0,1,0,1,1,0
"78",62,49,1,-0.349988454283568,-0.0971632367944108,0.276931344010693,0.633981249331744,0,1,0,1,1,0
"79",65,50,1,-0.609122744982047,1.85556084656593,1.84327104597572,-1.01551048488736,0,0,0,0,0,0
"80",58,49,1,0.821298539673557,-0.0971632367944108,0.573007751089449,1.38360280134882,0,1,0,1,0,1
"81",64,50,1,0.634721850370652,-1.73400548314058,-1.15569643217684,0.520949493545499,1,1,1,0,0,1
"82",63,49,1,-2.35050517847583,0.292561107573724,-1.27030665427184,0.195985759329463,0,1,0,1,1,0
"83",59,49,1,0.562164248975078,-0.0971632367944108,-1.0339230712009,-0.122872856633861,0,0,0,0,0,1
"84",63,49,1,-0.671314974749682,0.276151661495065,2.20859112890354,-0.545360779466227,0,1,1,0,0,0
"85",64,49,1,0.334126073160416,-0.322793120375962,5.24098658850048,1.26899501202572,1,1,0,1,0,1
"86",57,49,1,0.79020242478974,-0.527911196359191,-0.0788378870758768,-0.38503465869939,1,0,0,0,0,0
"87",62,49,1,-2.30904369196407,-0.0971632367944108,-1.27030665427184,1.07567990473433,0,1,0,1,0,1
"88",60,49,1,1.08043283037204,-1.36479294637076,0.88341043593008,0.00941600161893893,1,1,1,0,0,0
"89",59,49,1,-0.526199771958534,0.686387813461522,1.3824424446354,-0.411659960378261,0,0,0,0,1,0
"90",63,50,1,-0.256700109632116,0.415631953163661,0.422581834589758,0.694639799118606,1,1,0,1,1,0
"91",63,49,1,-0.381084569167386,0.0300099703151908,0.136056279352253,-1.32698697300031,0,0,0,0,1,0
